road_name,edge_id,length_meters,avg_deviation,max_deviation
"['Brisbane Water Road', 'Dibbs Street']_1",285732109->285732111,167.9000885108288,0,0
Bourke Street_2,285732233->1436939676,166.47654765045186,0,0
Date Street_3,285732077->285732235,165.71429819850923,0,0
Kullaiba Road_5,1453639318->2658893219,163.91587974618668,0,0
"['Hobart Road', 'Howe Street']_1",285922506->1843667280,163.631449370083,0,0
Brunker Road_1,272221403->272225716,163.43852150661547,0,0
Henderson Street_1,285923183->367128371,162.664524599246,0,0
Church Street_1,285923025->285923055,162.34547003566348,0,0
Fay Avenue_3,1840020273->12446969783,161.60945068042327,0,0
Wallarah Road_5,285923171->1843667338,161.58811519234874,0,0
Kullaiba Road_2,174778963->2658893207,161.3997762074457,0,0
Bryant Street_2,272223115->1848248256,161.28737998906362,0,0
Lambton Road_29,1839861571->1839861575,160.94490166270847,0,0
Lambton Road_27,1839861568->1839861574,159.79148729841864,0,0
Powell Street_1,285732107->285732205,158.48512003118927,0,0
Moira Street_2,285732127->1840020316,158.36371923149397,0,0
Lambton Road_34,2676303890->7013608463,156.50232328181667,0,0
Durham Road_6,285923063->285923102,156.17482387741248,0,0
Collaroy Road_4,6027609580->6136668216,155.81627301175996,0,0
Collaroy Road_3,6027609579->6136668216,154.89883772667423,0,0
Turton Road_6,1839861547->1839861553,154.72991538349916,0,0
Aldyth Street_2,276839898->1840020278,153.37704444375862,0,0
Clarence Road_1,285923664->285923671,151.8587109664333,0,0
Fletcher Street_7,285732129->285732209,151.03042412996615,0,0
Westcourt Road_3,285923660->285923661,150.7421166183435,0,0
Park Avenue_9,176399846->1843667522,150.06966464610306,0,0
Turton Road_7,1839861553->1839861560,148.0276224419719,0,0
Park Avenue_23,903719322->2659075988,146.72726258171872,0,0
Park Avenue_12,249343640->284966533,146.30226277268167,0,0
Lang Road_1,286119006->1839861571,143.62731512172854,0,0
Sixth Street_1,285732089->1840020268,142.46645323455778,0,0
Sixth Street_3,285732229->1840020268,142.34793367098044,0,0
Wood Street_4,285732230->285732248,142.25621932440325,0,0
Wood Street_5,285732248->1436939674,142.21481762450657,0,0
Edden Street_3,285732228->285732244,141.07129205078593,0,0
Bridges Road_23,2608920684->2608920685,138.66164990505243,22.631244760026565,26.00702449448149
Wallarah Road_2,285923102->285923134,138.15341341984265,0,0
Brown Street_1,285732108->285732207,136.78384100226918,0,0
Brown Road_3,287003447->337354167,136.75980846427325,0,0
Orlando Road_2,1843667295->4277621979,134.47328783203164,0,0
Howe Street_1,285922936->285922945,134.18198919405089,0,0
Park Avenue_15,285732092->8386558650,133.02072154676446,0,0
Durham Road_4,285923025->1843667262,132.70484075932964,0,0
Young Road_2,246010907->285923275,131.69034538091435,0,0
Railway Road_6,285923660->1843667319,131.3285417838871,0,0
Kings Road_3,1843667533->1843667536,131.19248381154887,0,0
Central Street_1,285923275->11198500742,131.15770177119916,0,0
Bennett Avenue_1,1843667478->1843667491,130.68881558488738,0,0
Clarence Road_2,285923669->285923671,129.353733826282,0,0
Fourth Street_2,285732060->285732230,129.0905633666069,0,0
Brunker Road_4,272224402->286119794,128.86119417355093,0,0
Glebe Road_13,2375001656->2375001658,128.72336305476483,0,0
Victoria Street_18,1436939674->1436939676,128.6844226252829,0,0
Avondale Road_3,285923657->5978163993,128.4550985378101,0,0
Hobart Road_6,285922956->739711945,128.32545788385238,0,0
"['Glebe Road', 'Saint James Road']_1",362011394->1843667522,127.81776236880094,0,0
Bala Road_2,286118925->286119794,127.01884263810484,0,0
Park Avenue_30,12038672019->12038672648,124.48058178754195,0,0
Park Avenue_3,176399696->246011243,122.7691172262934,0,0
Park Avenue_7,176399746->8530772748,122.71470694124883,0,0
Young Road_3,285922353->420057113,122.6708188510667,0,0
Durham Road_7,285923082->285923102,122.05186913273957,0,0
Brown Road_1,174794320->337354167,121.80052565261757,0,0
Hobart Road_3,285922527->367128371,121.73678906298797,0,0
Longworth Avenue_2,286118915->1843667444,121.67941474918666,0,0
Brisbane Water Road_2,285732107->285732108,121.6390093599068,0,0
Mirral Crescent_2,1843667368->1843667369,121.19666814889636,0,0
Bailey Street_2,285732111->285732113,121.12025111419175,0,0
Moonbi Street_3,1843667515->2608920687,121.05999644727552,0,0
