cycle_number,edge_number,node_from,node_to,osm_id,expected_segment_id,edge_exists_in_graph,length,name,highway
13,59,1649636793,1649636771,5133348,5133348_1649636771_1649636793,True,28.142,Black Bull Road,trunk
13,60,1649636771,60118871,5133348,5133348_1649636771_60118871,True,52.344,Black Bull Road,trunk
13,61,60118871,162769498,4985874,4985874_162769498_60118871,True,44.681,Black Bull Road,trunk
13,62,162769498,162769453,4985874,4985874_162769453_162769498,True,44.676,Black Bull Road,trunk
13,63,162769453,36312625,4985874,4985874_162769453_36312625,True,19.608,Black Bull Road,trunk
13,64,36312625,36312622,5200485,5200485_36312622_36312625,True,115.65299999999999,Linden Crescent,residential
13,65,36312622,36312628,5200500,5200500_36312622_36312628,True,71.073,Dawson Road,residential
13,66,36312628,36312629,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
14,1,36312629,36312628,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
14,2,36312628,36312631,37972208,37972208_36312628_36312631,True,109.323,Archer Road,residential
14,3,36312631,36312632,37972208,37972208_36312631_36312632,True,150.212,Archer Road,residential
14,4,36312632,33203237,5057626,5057626_33203237_36312632,True,38.186,Canterbury Road,tertiary
14,5,33203237,446006881,5044304,5044304_33203237_446006881,True,67.695,Sidney Street,residential
14,6,446006881,33762907,5044304,5044304_33762907_446006881,True,245.81,Sidney Street,residential
14,7,33762907,461132760,5032658,5032658_33762907_461132760,True,32.349,Joyes Road,tertiary
14,8,461132760,60077841,38839833,38839833_461132760_60077841,True,123.528,Green Lane,residential
14,9,60077841,461132760,38839833,38839833_461132760_60077841,True,123.528,Green Lane,residential
14,10,461132760,60077841,38839833,38839833_461132760_60077841,True,123.528,Green Lane,residential
14,11,60077841,8809143671,5032656,5032656_60077841_8809143671,True,1.542,Wood Avenue,residential
14,12,8809143671,35863137,5032656,5032656_35863137_8809143671,True,104.28200000000001,Wood Avenue,residential
14,13,35863137,33762571,5169003,5169003_33762571_35863137,True,129.317,Ivy Way,residential
14,14,33762571,60078105,5032658,5032658_33762571_60078105,True,56.349,Joyes Road,tertiary
14,15,60078105,461132760,5032658,5032658_461132760_60078105,True,42.132,Joyes Road,tertiary
14,16,461132760,60077841,38839833,38839833_461132760_60077841,True,123.528,Green Lane,residential
14,17,60077841,35863141,5032656,5032656_35863141_60077841,True,35.957,Wood Avenue,residential
14,18,35863141,33628401,5032659,5032659_33628401_35863141,True,128.463,Ingoldsby Road,residential
14,19,33628401,60077842,42825420,42825420_33628401_60077842,True,42.581,Hill Road,residential
14,20,60077842,33628397,42825420,42825420_33628397_60077842,True,159.229,Hill Road,residential
14,21,33628397,33628396,5032650,5032650_33628396_33628397,True,20.11,,residential
14,22,33628396,33628411,443210111,443210111_33628396_33628411,True,14.824000000000002,,primary
14,23,33628411,26739585,443210111,443210111_26739585_33628411,True,23.908,,primary
14,24,26739585,26739577,"[4381866, 42813685, 42813686]","[4381866, 42813685, 42813686]_26739577_26739585",True,385.37499999999994,Hill Road,primary
14,25,26739577,26739576,933360843,933360843_26739576_26739577,True,27.967,,trunk
14,26,26739576,26735380,4381865,4381865_26735380_26739576,True,52.135,Canterbury Road,primary
14,27,26735380,35496638,4381896,4381896_26735380_35496638,True,9.58,Canterbury Road,primary
14,28,35496638,26735380,4381896,4381896_26735380_35496638,True,9.58,Canterbury Road,primary
14,29,26735380,26739576,4381865,4381865_26735380_26739576,True,52.135,Canterbury Road,primary
14,30,26739576,26739577,933360843,933360843_26739576_26739577,True,27.967,,trunk
14,31,26739577,33628418,933360843,933360843_26739577_33628418,True,32.019000000000005,,trunk
14,32,33628418,33072009,933360843,933360843_33072009_33628418,True,6.516,,trunk
14,33,33072009,260610749,151286636,151286636_260610749_33072009,True,32.855000000000004,Canterbury Road,trunk
14,34,260610749,33628433,4985871,4985871_260610749_33628433,True,97.97,Canterbury Road,trunk
14,35,33628433,33628435,5032654,5032654_33628433_33628435,True,82.364,Walton Manor Close,residential
14,36,33628435,33628436,5032652,5032652_33628435_33628436,True,7.452999999999999,Walton Manor Close,residential
14,37,33628436,33628435,5032652,5032652_33628435_33628436,True,7.452999999999999,Walton Manor Close,residential
14,38,33628435,33628433,5032654,5032654_33628433_33628435,True,82.364,Walton Manor Close,residential
14,39,33628433,2707218108,4985871,4985871_2707218108_33628433,True,40.606,Canterbury Road,trunk
14,40,2707218108,35863128,4985871,4985871_2707218108_35863128,True,31.877,Canterbury Road,trunk
14,41,35863128,33072122,4985871,4985871_33072122_35863128,True,28.096,Canterbury Road,trunk
14,42,33072122,445844415,4985871,4985871_33072122_445844415,True,14.51,Canterbury Road,trunk
14,43,445844415,33628393,4985871,4985871_33628393_445844415,True,49.004,Canterbury Road,trunk
14,44,33628393,33072159,4985871,4985871_33072159_33628393,True,76.649,Canterbury Road,trunk
14,45,33072159,60078106,4985871,4985871_33072159_60078106,True,51.07,Canterbury Road,trunk
14,46,60078106,216245344,4985871,4985871_216245344_60078106,True,45.11600000000001,Canterbury Road,trunk
14,47,216245344,445844412,4985871,4985871_216245344_445844412,True,67.87899999999999,Canterbury Road,trunk
14,48,445844412,33072170,4985871,4985871_33072170_445844412,True,78.63699999999999,Canterbury Road,trunk
14,49,33072170,36312615,5057626,5057626_33072170_36312615,True,98.51100000000001,Canterbury Road,tertiary
14,50,36312615,36312617,5200485,5200485_36312615_36312617,True,117.464,Linden Crescent,residential
14,51,36312617,36312622,5200485,5200485_36312617_36312622,True,111.851,Linden Crescent,residential
14,52,36312622,36312628,5200500,5200500_36312622_36312628,True,71.073,Dawson Road,residential
14,53,36312628,36312629,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
15,1,36312629,36312628,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
15,2,36312628,36312631,37972208,37972208_36312628_36312631,True,109.323,Archer Road,residential
15,3,36312631,36312632,37972208,37972208_36312631_36312632,True,150.212,Archer Road,residential
15,4,36312632,33203237,5057626,5057626_33203237_36312632,True,38.186,Canterbury Road,tertiary
15,5,33203237,446006881,5044304,5044304_33203237_446006881,True,67.695,Sidney Street,residential
15,6,446006881,33762907,5044304,5044304_33762907_446006881,True,245.81,Sidney Street,residential
15,7,33762907,461132760,5032658,5032658_33762907_461132760,True,32.349,Joyes Road,tertiary
15,8,461132760,60077841,38839833,38839833_461132760_60077841,True,123.528,Green Lane,residential
15,9,60077841,8809143671,5032656,5032656_60077841_8809143671,True,1.542,Wood Avenue,residential
15,10,8809143671,461132793,8036346,8036346_461132793_8809143671,True,34.188,Green Lane,residential
15,11,461132793,8809143671,8036346,8036346_461132793_8809143671,True,34.188,Green Lane,residential
15,12,8809143671,461132793,8036346,8036346_461132793_8809143671,True,34.188,Green Lane,residential
15,13,461132793,461132763,38839834,38839834_461132763_461132793,True,48.863,Green Court,residential
15,14,461132763,461132793,38839834,38839834_461132763_461132793,True,48.863,Green Court,residential
15,15,461132793,60077842,8036346,8036346_461132793_60077842,True,108.60700000000001,Green Lane,residential
15,16,60077842,461132793,8036346,8036346_461132793_60077842,True,108.60700000000001,Green Lane,residential
15,17,461132793,8809143671,8036346,8036346_461132793_8809143671,True,34.188,Green Lane,residential
15,18,8809143671,60077841,5032656,5032656_60077841_8809143671,True,1.542,Wood Avenue,residential
15,19,60077841,35863141,5032656,5032656_35863141_60077841,True,35.957,Wood Avenue,residential
15,20,35863141,461132754,5032656,5032656_35863141_461132754,True,75.079,Wood Avenue,residential
15,21,461132754,461132757,38839832,38839832_461132754_461132757,True,44.335,Tennyson Place,residential
15,22,461132757,461132754,38839832,38839832_461132754_461132757,True,44.335,Tennyson Place,residential
15,23,461132754,461132756,38839831,38839831_461132754_461132756,True,66.166,Browning Place,residential
15,24,461132756,461132754,38839831,38839831_461132754_461132756,True,66.166,Browning Place,residential
15,25,461132754,60077839,5032656,5032656_461132754_60077839,True,75.84,Wood Avenue,residential
15,26,60077839,461132754,5032656,5032656_461132754_60077839,True,75.84,Wood Avenue,residential
15,27,461132754,60077839,5032656,5032656_461132754_60077839,True,75.84,Wood Avenue,residential
15,28,60077839,33762516,5110560,5110560_33762516_60077839,True,131.194,Tyson Road,residential
15,29,33762516,26739598,5032658,5032658_26739598_33762516,True,96.586,Joyes Road,tertiary
15,30,26739598,1169788682,4381864,4381864_1169788682_26739598,True,32.584,Dover Road,primary
15,31,1169788682,26739595,4381864,4381864_1169788682_26739595,True,197.631,Dover Road,primary
15,32,26739595,1213291682,105279322,105279322_1213291682_26739595,True,34.161,,primary
15,33,1213291682,26739594,105279310,105279310_1213291682_26739594,True,14.76,Dover Road,tertiary
15,34,26739594,6521843469,694560299,694560299_26739594_6521843469,True,7.723,Dover Road,tertiary
15,35,6521843469,33762863,105279353,105279353_33762863_6521843469,True,12.119,Wear Bay Road,tertiary
15,36,33762863,33628446,694560292,694560292_33628446_33762863,True,102.44,Wear Bay Road,tertiary
15,37,33628446,35496636,694560292,694560292_33628446_35496636,True,70.786,Wear Bay Road,tertiary
15,38,35496636,33628446,694560292,694560292_33628446_35496636,True,70.786,Wear Bay Road,tertiary
15,39,33628446,33762863,694560292,694560292_33628446_33762863,True,102.44,Wear Bay Road,tertiary
15,40,33762863,1213291821,694560296,694560296_1213291821_33762863,True,12.869,Dover Road,tertiary
15,41,1213291821,1213291682,694560294,694560294_1213291682_1213291821,True,14.268,Dover Road,tertiary
15,42,1213291682,1213292062,694560293,694560293_1213291682_1213292062,True,10.987,,primary
15,43,1213292062,9688233580,105279332,105279332_1213292062_9688233580,True,21.748,Hill Road,residential
15,44,9688233580,33628405,1054237204,1054237204_33628405_9688233580,True,39.181999999999995,Hill Road,residential
15,45,33628405,33628401,42825420,42825420_33628401_33628405,True,129.527,Hill Road,residential
15,46,33628401,35863141,5032659,5032659_33628401_35863141,True,128.463,Ingoldsby Road,residential
15,47,35863141,33628394,5032659,5032659_33628394_35863141,True,122.84400000000001,Ingoldsby Road,residential
15,48,33628394,33762907,5032658,5032658_33628394_33762907,True,8.391,Joyes Road,tertiary
15,49,33762907,446006881,5044304,5044304_33762907_446006881,True,245.81,Sidney Street,residential
15,50,446006881,33203237,5044304,5044304_33203237_446006881,True,67.695,Sidney Street,residential
15,51,33203237,36312632,5057626,5057626_33203237_36312632,True,38.186,Canterbury Road,tertiary
15,52,36312632,36312631,37972208,37972208_36312631_36312632,True,150.212,Archer Road,residential
15,53,36312631,36312628,37972208,37972208_36312628_36312631,True,109.323,Archer Road,residential
15,54,36312628,36312629,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
16,1,36312629,36312628,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
16,2,36312628,36312622,5200500,5200500_36312622_36312628,True,71.073,Dawson Road,residential
16,3,36312622,36312625,5200485,5200485_36312622_36312625,True,115.65299999999999,Linden Crescent,residential
16,4,36312625,162769453,4985874,4985874_162769453_36312625,True,19.608,Black Bull Road,trunk
16,5,162769453,162769498,4985874,4985874_162769453_162769498,True,44.676,Black Bull Road,trunk
16,6,162769498,60118871,4985874,4985874_162769498_60118871,True,44.681,Black Bull Road,trunk
16,7,60118871,27006857,870985190,870985190_27006857_60118871,True,93.766,Pavilion Road,trunk
16,8,27006857,27006855,870985190,870985190_27006855_27006857,True,104.87400000000001,Pavilion Road,trunk
16,9,27006855,8113263511,870985190,870985190_27006855_8113263511,True,19.879,Pavilion Road,trunk
16,10,8113263511,33763072,4413143,4413143_33763072_8113263511,True,13.705,Pavilion Road,trunk
16,11,33763072,33763116,38572670,38572670_33763072_33763116,True,138.941,Park Farm Road,tertiary
16,12,33763116,4894729277,38572670,38572670_33763116_4894729277,True,107.235,Park Farm Road,tertiary
16,13,4894729277,4894729276,497979631,497979631_4894729276_4894729277,True,36.653999999999996,Kings Way,residential
16,14,4894729276,4894729277,497979631,497979631_4894729276_4894729277,True,36.653999999999996,Kings Way,residential
16,15,4894729277,4894729276,497979631,497979631_4894729276_4894729277,True,36.653999999999996,Kings Way,residential
16,16,4894729276,4894729273,497979631,497979631_4894729273_4894729276,True,33.233000000000004,Kings Way,residential
16,17,4894729273,4894729276,497979631,497979631_4894729273_4894729276,True,33.233000000000004,Kings Way,residential
16,18,4894729276,4894729265,497979630,497979630_4894729265_4894729276,True,125.855,Trinity Drive,residential
16,19,4894729265,4894729263,"[952062877, 497979630]","[952062877, 497979630]_4894729263_4894729265",True,63.779,Trinity Drive,residential
16,20,4894729263,4894729262,497979629,497979629_4894729262_4894729263,True,6.176,Trinity Drive,residential
16,21,4894729262,4894729263,497979629,497979629_4894729262_4894729263,True,6.176,Trinity Drive,residential
16,22,4894729263,4894729264,952062877,952062877_4894729263_4894729264,True,3.575,Trinity Drive,residential
16,23,4894729264,4894729263,952062877,952062877_4894729263_4894729264,True,3.575,Trinity Drive,residential
16,24,4894729263,4894729265,"[952062877, 497979630]","[952062877, 497979630]_4894729263_4894729265",True,63.779,Trinity Drive,residential
16,25,4894729265,4894729269,497979628,497979628_4894729265_4894729269,True,53.303,Eton Walk,residential
16,26,4894729269,4894729256,"[952062856, 497979626]","[952062856, 497979626]_4894729256_4894729269",True,70.71000000000001,Roedean Close,residential
16,27,4894729256,4894729269,"[952062856, 497979626]","[952062856, 497979626]_4894729256_4894729269",True,70.71000000000001,Roedean Close,residential
16,28,4894729269,4894729270,497979631,497979631_4894729269_4894729270,True,66.195,Kings Way,residential
16,29,4894729270,4894729255,497979625,497979625_4894729255_4894729270,True,40.909,Harrow Close,residential
16,30,4894729255,4894729270,497979625,497979625_4894729255_4894729270,True,40.909,Harrow Close,residential
16,31,4894729270,4894729273,497979631,497979631_4894729270_4894729273,True,42.517,Kings Way,residential
16,32,4894729273,5240032918,497979624,497979624_4894729273_5240032918,True,56.191,Kings Way,residential
16,33,5240032918,4894729273,497979624,497979624_4894729273_5240032918,True,56.191,Kings Way,residential
16,34,4894729273,4894729270,497979631,497979631_4894729270_4894729273,True,42.517,Kings Way,residential
16,35,4894729270,4894729269,497979631,497979631_4894729269_4894729270,True,66.195,Kings Way,residential
16,36,4894729269,4894729259,497979628,497979628_4894729259_4894729269,True,53.472,Eton Walk,residential
16,37,4894729259,4894729269,497979628,497979628_4894729259_4894729269,True,53.472,Eton Walk,residential
16,38,4894729269,4894729259,497979628,497979628_4894729259_4894729269,True,53.472,Eton Walk,residential
16,39,4894729259,4894729261,497979628,497979628_4894729259_4894729261,True,11.555,Eton Walk,residential
16,40,4894729261,4894729259,497979628,497979628_4894729259_4894729261,True,11.555,Eton Walk,residential
16,41,4894729259,4894729258,"[952062857, 497979627]","[952062857, 497979627]_4894729258_4894729259",True,50.980999999999995,Melanie Close,residential
16,42,4894729258,4894729259,"[952062857, 497979627]","[952062857, 497979627]_4894729258_4894729259",True,50.980999999999995,Melanie Close,residential
16,43,4894729259,4894729269,497979628,497979628_4894729259_4894729269,True,53.472,Eton Walk,residential
16,44,4894729269,4894729270,497979631,497979631_4894729269_4894729270,True,66.195,Kings Way,residential
16,45,4894729270,4894729273,497979631,497979631_4894729270_4894729273,True,42.517,Kings Way,residential
16,46,4894729273,4894729276,497979631,497979631_4894729273_4894729276,True,33.233000000000004,Kings Way,residential
16,47,4894729276,4894729277,497979631,497979631_4894729276_4894729277,True,36.653999999999996,Kings Way,residential
16,48,4894729277,33763138,38572670,38572670_33763138_4894729277,True,124.29600000000002,Park Farm Road,tertiary
16,49,33763138,181570042,38572676,38572676_181570042_33763138,True,106.819,Downside,residential
16,50,181570042,181570044,38572676,38572676_181570042_181570044,True,64.84,Downside,residential
16,51,181570044,181570048,38572676,38572676_181570044_181570048,True,69.209,Downside,residential
16,52,181570048,475016745,39630147,39630147_181570048_475016745,True,8.521,Downside,residential
16,53,475016745,181570048,39630147,39630147_181570048_475016745,True,8.521,Downside,residential
16,54,181570048,181570044,38572676,38572676_181570044_181570048,True,69.209,Downside,residential
16,55,181570044,181570042,38572676,38572676_181570042_181570044,True,64.84,Downside,residential
16,56,181570042,33763138,38572676,38572676_181570042_33763138,True,106.819,Downside,residential
16,57,33763138,4894729277,38572670,38572670_33763138_4894729277,True,124.29600000000002,Park Farm Road,tertiary
16,58,4894729277,33763116,38572670,38572670_33763116_4894729277,True,107.235,Park Farm Road,tertiary
16,59,33763116,33763072,38572670,38572670_33763072_33763116,True,138.941,Park Farm Road,tertiary
16,60,33763072,8113263511,4413143,4413143_33763072_8113263511,True,13.705,Pavilion Road,trunk
16,61,8113263511,27006855,870985190,870985190_27006855_8113263511,True,19.879,Pavilion Road,trunk
16,62,27006855,27006857,870985190,870985190_27006855_27006857,True,104.87400000000001,Pavilion Road,trunk
16,63,27006857,60118871,870985190,870985190_27006857_60118871,True,93.766,Pavilion Road,trunk
16,64,60118871,162769498,4985874,4985874_162769498_60118871,True,44.681,Black Bull Road,trunk
16,65,162769498,162769453,4985874,4985874_162769453_162769498,True,44.676,Black Bull Road,trunk
16,66,162769453,36312625,4985874,4985874_162769453_36312625,True,19.608,Black Bull Road,trunk
16,67,36312625,36312622,5200485,5200485_36312622_36312625,True,115.65299999999999,Linden Crescent,residential
16,68,36312622,36312628,5200500,5200500_36312622_36312628,True,71.073,Dawson Road,residential
16,69,36312628,36312629,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
17,1,36312629,36312628,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
17,2,36312628,36312631,37972208,37972208_36312628_36312631,True,109.323,Archer Road,residential
17,3,36312631,36312632,37972208,37972208_36312631_36312632,True,150.212,Archer Road,residential
17,4,36312632,33203237,5057626,5057626_33203237_36312632,True,38.186,Canterbury Road,tertiary
17,5,33203237,1353645463,5057626,5057626_1353645463_33203237,True,60.337,Canterbury Road,tertiary
17,6,1353645463,33203238,5057626,5057626_1353645463_33203238,True,6.455,Canterbury Road,tertiary
17,7,33203238,60078112,5057626,5057626_33203238_60078112,True,49.232,Canterbury Road,tertiary
17,8,60078112,60078111,5057626,5057626_60078111_60078112,True,65.774,Canterbury Road,tertiary
17,9,60078111,36310126,5057626,5057626_36310126_60078111,True,72.61800000000001,Canterbury Road,tertiary
17,10,36310126,36310125,"[5200224, 978235970, 978235971]","[5200224, 978235970, 978235971]_36310125_36310126",True,28.000000000000004,Dover Road,primary
17,11,36310125,26739496,1219006790,1219006790_26739496_36310125,True,15.545,,primary
17,12,26739496,26739528,5032701,5032701_26739496_26739528,True,62.464,Dover Road,primary
17,13,26739528,26739527,5032701,5032701_26739527_26739528,True,40.266000000000005,Dover Road,primary
17,14,26739527,344185253,5032701,5032701_26739527_344185253,True,90.025,Dover Road,primary
17,15,344185253,12747259823,5032701,5032701_12747259823_344185253,True,59.385,Dover Road,primary
17,16,12747259823,344185253,5032701,5032701_12747259823_344185253,True,59.385,Dover Road,primary
17,17,344185253,12747259823,5032701,5032701_12747259823_344185253,True,59.385,Dover Road,primary
17,18,12747259823,33628477,5032663,5032663_12747259823_33628477,True,28.899,Harbour Way,tertiary
17,19,33628477,12747259823,5032663,5032663_12747259823_33628477,True,28.899,Harbour Way,tertiary
17,20,12747259823,459154398,5133446,5133446_12747259823_459154398,True,32.876999999999995,Dover Road,primary
17,21,459154398,26739523,5133446,5133446_26739523_459154398,True,95.663,Dover Road,primary
17,22,26739523,60119087,8040728,8040728_26739523_60119087,True,159.682,Charlotte Street,residential
17,23,60119087,26739530,158181032,158181032_26739530_60119087,True,28.758,Harvey Street,residential
17,24,26739530,26739537,4381808,4381808_26739530_26739537,True,74.42099999999999,Margaret Street,residential
17,25,26739537,26739533,4384444,4384444_26739533_26739537,True,132.89,St Michael's Street,residential
17,26,26739533,26739530,"[1378595346, 4381812]","[1378595346, 4381812]_26739530_26739533",True,170.053,Harvey Street,residential
17,27,26739530,60119087,158181032,158181032_26739530_60119087,True,28.758,Harvey Street,residential
17,28,60119087,26739523,8040728,8040728_26739523_60119087,True,159.682,Charlotte Street,residential
17,29,26739523,459154398,5133446,5133446_26739523_459154398,True,95.663,Dover Road,primary
17,30,459154398,33628477,38729391,38729391_33628477_459154398,True,24.326999999999998,,tertiary
17,31,33628477,33628476,5032663,5032663_33628476_33628477,True,45.525999999999996,Harbour Way,tertiary
17,32,33628476,33628474,30954381,30954381_33628474_33628476,True,20.827,Radnor Bridge Road,tertiary
17,33,33628474,1681666390,5032662,5032662_1681666390_33628474,True,32.293,Radnor Bridge Road,tertiary
17,34,1681666390,344185278,"[9495978, 5032661, 5032662]","[9495978, 5032661, 5032662]_1681666390_344185278",True,153.796,Radnor Bridge Road,tertiary
