route_id,route_name,total_segments,segments_with_geometry,segments_without_geometry,total_length_m,will_visualize
312,Route 1 from Grinsell2,29,29,0,3911.3500000000004,True
313,Route 2 from Grinsell2,18,18,0,3689.028,True
314,Route 3 from Grinsell2,60,60,0,3868.9409999999993,True
315,Route 4 from Grinsell2,26,26,0,3611.6779999999994,True
316,Route 5 from Grinsell2,29,29,0,3995.295999999999,True
317,Route 6 from Grinsell2,42,42,0,3879.3869999999997,True
318,Route 7 from Grinsell2,24,24,0,3850.2099999999996,True
319,Route 8 from Grinsell2,31,31,0,3740.597,True
320,Route 9 from Grinsell2,42,42,0,3990.7099999999987,True
321,Route 10 from Grinsell2,30,30,0,3866.2219999999998,True
322,Route 11 from Grinsell2,25,25,0,3807.912999999999,True
323,Route 12 from Grinsell2,36,36,0,3882.6959999999995,True
324,Route 13 from Grinsell2,28,28,0,3967.8039999999996,True
325,Route 14 from Grinsell2,34,34,0,3808.999999999999,True
326,Route 15 from Grinsell2,23,23,0,3526.7819999999997,True
327,Route 16 from Grinsell2,17,17,0,3908.6730000000002,True
328,Route 17 from Grinsell2,38,38,0,3994.0539999999996,True
329,Route 18 from Grinsell2,22,22,0,3790.2940000000003,True
330,Route 19 from Grinsell2,30,30,0,3986.8559999999998,True
331,Route 20 from Grinsell2,38,38,0,3614.883999999999,True
332,Route 21 from Grinsell2,22,22,0,3931.914,True
333,Route 22 from Grinsell2,41,41,0,3679.158999999999,True
334,Route 23 from Grinsell2,38,38,0,3883.747999999999,True
335,Route 24 from Grinsell2,45,45,0,3953.7869999999994,True
336,Route 25 from Grinsell2,20,20,0,3207.2219999999993,True
337,Route 26 from Grinsell2,23,23,0,3859.6489999999994,True
338,Route 27 from Grinsell2,43,43,0,3967.6589999999997,True
339,Route 28 from Grinsell2,35,35,0,3951.5769999999993,True
340,Route 29 from Grinsell2,38,38,0,3911.2400000000002,True
341,Route 30 from Grinsell2,19,19,0,3675.093999999999,True
342,Route 31 from Grinsell2,30,30,0,3966.1839999999997,True
343,Route 32 from Grinsell2,26,26,0,3813.715,True
344,Route 33 from Grinsell2,34,34,0,3508.7119999999995,True
345,Route 34 from Grinsell2,36,36,0,3513.339999999999,True
346,Route 35 from Grinsell2,24,24,0,3913.0040000000004,True
347,Route 36 from Grinsell2,32,32,0,3969.85,True
348,Route 37 from Grinsell2,38,38,0,3926.198,True
349,Route 38 from Grinsell2,40,40,0,3712.133999999999,True
350,Route 39 from Grinsell2,55,55,0,3987.283,True
351,Route 40 from Grinsell2,30,30,0,3771.1,True
352,Route 41 from Grinsell2,29,29,0,3911.611,True
353,Route 42 from Grinsell2,38,38,0,3789.8480000000004,True
354,Route 43 from Grinsell2,35,35,0,3811.5549999999994,True
355,Route 44 from Grinsell2,40,40,0,3883.715999999999,True
356,Route 45 from Grinsell2,40,40,0,3890.411999999999,True
357,Route 46 from Grinsell2,20,20,0,3892.0679999999998,True
358,Route 47 from Grinsell2,21,21,0,3896.6909999999993,True
359,Route 48 from Grinsell2,32,32,0,3921.6979999999994,True
360,Route 49 from Grinsell2,40,40,0,3926.9939999999992,True
361,Route 50 from Grinsell2,32,32,0,3946.5899999999997,True
362,Route 51 from Grinsell2,42,42,0,3980.947999999999,True
