cycle_number,edge_number,node_from,node_to,osm_id,expected_segment_id,edge_exists_in_graph,length,name,highway
1,1,277137722,174779362,263596297,263596297_174779362_277137722,True,113.52900000000001,Park Avenue,secondary
1,2,174779362,277137821,173599912,173599912_174779362_277137821,True,237.79799999999997,Kuranda Crescent,residential
1,3,277137821,277137615,173599951,173599951_277137615_277137821,True,112.78299999999999,Moruya Parade,residential
1,4,277137615,1843843735,173599951,173599951_1843843735_277137615,True,96.707,Moruya Parade,residential
1,5,1843843735,1843843756,173599934,173599934_1843843735_1843843756,True,103.673,Lugar Street,residential
1,6,1843843756,277136938,173599934,173599934_1843843756_277136938,True,137.554,Lugar Street,residential
1,7,277136938,277136871,25429486,25429486_277136871_277136938,True,57.068000000000005,Stuart Street,tertiary
1,8,277136871,1843843783,25429486,25429486_1843843783_277136871,True,86.836,Stuart Street,tertiary
1,9,1843843783,277136885,25429486,25429486_1843843783_277136885,True,485.37299999999993,Stuart Street,tertiary
1,10,277136885,277134183,1221729706,1221729706_277134183_277136885,True,52.419,Charlestown Road,primary
1,11,277134183,174779466,1221729706,1221729706_174779466_277134183,True,95.64900000000002,Charlestown Road,primary
1,12,174779466,9971218200,1102830226,1102830226_174779466_9971218200,True,10.544,Charlestown Road,primary
1,13,9971218200,246011611,80504050,80504050_246011611_9971218200,True,110.19300000000001,Charlestown Road,primary
1,14,246011611,246011446,22882269,22882269_246011446_246011611,True,62.786,Charlestown Road,primary
1,15,246011446,7095468027,783194617,783194617_246011446_7095468027,True,1.25,Charlestown Road,primary
1,16,7095468027,246012413,22882268,22882268_246012413_7095468027,True,239.916,Newcastle Inner City Bypass,motorway_link
1,17,246012413,1835198259,"[347409355, 226009606, 347409359]","[347409355, 226009606, 347409359]_1835198259_246012413",True,402.048,Newcastle Inner City Bypass,motorway
1,18,1835198259,276839850,"[347409315, 23098239]","[347409315, 23098239]_1835198259_276839850",True,274.533,Charlestown Road,trunk
1,19,276839850,7777852060,833190367,833190367_276839850_7777852060,True,53.963,Charlestown Road,residential
1,20,7777852060,249344207,"[833190365, 578997591]","[833190365, 578997591]_249344207_7777852060",True,57.565,Charlestown Road,trunk
