cycle_number,edge_number,node_from,node_to,osm_id,expected_segment_id,edge_exists_in_graph,length,name,highway
14,35,1840020292,1840020314,415483046,415483046_1840020292_1840020314,True,438.793,Grinsell Street,residential
14,36,1840020314,1840020315,461776404,461776404_1840020314_1840020315,True,33.918,Grinsell Street,residential
14,37,1840020315,1840020321,"[263596288, 461776404]","[263596288, 461776404]_1840020315_1840020321",True,237.296,Grinsell Street,residential
15,1,1840020321,1840020315,"[263596288, 461776404]","[263596288, 461776404]_1840020315_1840020321",True,237.296,Grinsell Street,residential
15,2,1840020315,1840020314,461776404,461776404_1840020314_1840020315,True,33.918,Grinsell Street,residential
15,3,1840020314,1840020292,415483046,415483046_1840020292_1840020314,True,438.793,Grinsell Street,residential
15,4,1840020292,1840020279,244673314,244673314_1840020279_1840020292,True,193.103,Allan Street,residential
15,5,1840020279,276839791,"[244673314, 235918157]","[244673314, 235918157]_1840020279_276839791",True,229.35299999999998,"['Birdwood Street', 'Allan Street']",residential
15,6,276839791,276839788,235918157,235918157_276839788_276839791,True,55.31,Birdwood Street,residential
15,7,276839788,276839790,235918157,235918157_276839788_276839790,True,77.937,Birdwood Street,residential
15,8,276839790,2676461913,969953695,969953695_2676461913_276839790,True,216.74200000000002,Carnley Avenue,secondary
15,9,2676461913,7095701987,904926016,904926016_2676461913_7095701987,True,2.095,,primary
15,10,7095701987,1926352191,"[749106949, 327527400, 446614029, 611263088, 688568563]","[749106949, 327527400, 446614029, 611263088, 688568563]_1926352191_7095701987",True,368.09600000000006,Northcott Drive,primary
15,11,1926352191,2659023478,182288606,182288606_1926352191_2659023478,True,10.319,Bradford Close,unclassified
15,12,2659023478,1840020256,"[26150776, 472269078, 446614030]","[26150776, 472269078, 446614030]_1840020256_2659023478",True,290.252,Northcott Drive,primary
15,13,1840020256,8172070487,472269078,472269078_1840020256_8172070487,True,84.725,Northcott Drive,primary
15,14,8172070487,2676461902,904926018,904926018_2676461902_8172070487,True,2.372,,primary
15,15,2676461902,939119128,419698281,419698281_2676461902_939119128,True,23.702,,primary
15,16,939119128,7095701989,904926011,904926011_7095701989_939119128,True,4.276,,primary
15,17,7095701989,939119128,904926011,904926011_7095701989_939119128,True,4.276,,primary
15,18,939119128,2676461902,419698281,419698281_2676461902_939119128,True,23.702,,primary
15,19,2676461902,8172070487,904926018,904926018_2676461902_8172070487,True,2.372,,primary
15,20,8172070487,7095701987,904926017,904926017_7095701987_8172070487,True,24.788000000000004,,primary
15,21,7095701987,2676461913,904926016,904926016_2676461913_7095701987,True,2.095,,primary
15,22,2676461913,276839790,969953695,969953695_2676461913_276839790,True,216.74200000000002,Carnley Avenue,secondary
15,23,276839790,276839788,235918157,235918157_276839788_276839790,True,77.937,Birdwood Street,residential
15,24,276839788,276839791,235918157,235918157_276839788_276839791,True,55.31,Birdwood Street,residential
15,25,276839791,1840020279,"[244673314, 235918157]","[244673314, 235918157]_1840020279_276839791",True,229.35299999999998,"['Birdwood Street', 'Allan Street']",residential
15,26,1840020279,1840020292,244673314,244673314_1840020279_1840020292,True,193.103,Allan Street,residential
15,27,1840020292,1840020314,415483046,415483046_1840020292_1840020314,True,438.793,Grinsell Street,residential
15,28,1840020314,1840020315,461776404,461776404_1840020314_1840020315,True,33.918,Grinsell Street,residential
15,29,1840020315,1840020321,"[263596288, 461776404]","[263596288, 461776404]_1840020315_1840020321",True,237.296,Grinsell Street,residential
16,1,1840020321,1840020315,"[263596288, 461776404]","[263596288, 461776404]_1840020315_1840020321",True,237.296,Grinsell Street,residential
16,2,1840020315,1840020314,461776404,461776404_1840020314_1840020315,True,33.918,Grinsell Street,residential
16,3,1840020314,1840020292,415483046,415483046_1840020292_1840020314,True,438.793,Grinsell Street,residential
16,4,1840020292,276839881,173174963,173174963_1840020292_276839881,True,83.096,Orchardtown Road,residential
16,5,276839881,6144518511,415483043,415483043_276839881_6144518511,True,50.321,Orchardtown Road,residential
16,6,6144518511,276839882,415483043,415483043_276839882_6144518511,True,8.837,Orchardtown Road,residential
16,7,276839882,6144518497,415483043,415483043_276839882_6144518497,True,72.727,Orchardtown Road,residential
16,8,6144518497,12446969779,415483043,415483043_12446969779_6144518497,True,2.84,Orchardtown Road,residential
16,9,12446969779,2643520648,"[415483043, 688568541, 1345398646]","[415483043, 688568541, 1345398646]_12446969779_2643520648",True,109.95400000000001,Orchardtown Road,residential
16,10,2643520648,8975857810,688568560,688568560_2643520648_8975857810,True,25.98,Orchardtown Road,tertiary
16,11,8975857810,285923942,"[415483041, 1221729709]","[415483041, 1221729709]_285923942_8975857810",True,101.35199999999999,Orchardtown Road,tertiary
16,12,285923942,1840020227,173174988,173174988_1840020227_285923942,True,18.015,Blamey Avenue,residential
16,13,1840020227,1840020232,173175072,173175072_1840020227_1840020232,True,82.672,Orchardtown Road,residential
16,14,1840020232,1843667530,173174974,173174974_1840020232_1843667530,True,188.75,Dunkley Avenue,residential
16,15,1843667530,1843667528,173174974,173174974_1843667528_1843667530,True,56.462,Dunkley Avenue,residential
16,16,1843667528,1843667530,173174974,173174974_1843667528_1843667530,True,56.462,Dunkley Avenue,residential
16,17,1843667530,1843667532,173577862,173577862_1843667530_1843667532,True,57.784,Aldyth Street,residential
16,18,1843667532,1843667530,173577862,173577862_1843667530_1843667532,True,57.784,Aldyth Street,residential
16,19,1843667530,1840020232,173174974,173174974_1840020232_1843667530,True,188.75,Dunkley Avenue,residential
16,20,1840020232,1840020227,173175072,173175072_1840020227_1840020232,True,82.672,Orchardtown Road,residential
16,21,1840020227,1843667514,"[235918155, 173174988]","[235918155, 173174988]_1840020227_1843667514",True,259.001,"['Aldyth Street', 'Blamey Avenue']",residential
16,22,1843667514,1843667506,235918155,235918155_1843667506_1843667514,True,79.173,Aldyth Street,residential
16,23,1843667506,1843667508,173577874,173577874_1843667506_1843667508,True,98.979,Hooper Street,residential
16,24,1843667508,5325137595,173577874,173577874_1843667508_5325137595,True,112.411,Hooper Street,residential
16,25,5325137595,1843667517,235918156,235918156_1843667517_5325137595,True,81.973,Orchardtown Road,tertiary
16,26,1843667517,1840020223,415483041,415483041_1840020223_1843667517,True,55.547000000000004,Orchardtown Road,tertiary
16,27,1840020223,285923942,415483041,415483041_1840020223_285923942,True,25.527,Orchardtown Road,tertiary
16,28,285923942,8975857810,"[415483041, 1221729709]","[415483041, 1221729709]_285923942_8975857810",True,101.35199999999999,Orchardtown Road,tertiary
16,29,8975857810,2643520648,688568560,688568560_2643520648_8975857810,True,25.98,Orchardtown Road,tertiary
16,30,2643520648,12446969779,"[415483043, 688568541, 1345398646]","[415483043, 688568541, 1345398646]_12446969779_2643520648",True,109.95400000000001,Orchardtown Road,residential
16,31,12446969779,6144518497,415483043,415483043_12446969779_6144518497,True,2.84,Orchardtown Road,residential
16,32,6144518497,276839882,415483043,415483043_276839882_6144518497,True,72.727,Orchardtown Road,residential
16,33,276839882,6144518511,415483043,415483043_276839882_6144518511,True,8.837,Orchardtown Road,residential
16,34,6144518511,276839881,415483043,415483043_276839881_6144518511,True,50.321,Orchardtown Road,residential
16,35,276839881,1840020292,173174963,173174963_1840020292_276839881,True,83.096,Orchardtown Road,residential
16,36,1840020292,1840020314,415483046,415483046_1840020292_1840020314,True,438.793,Grinsell Street,residential
16,37,1840020314,1840020315,461776404,461776404_1840020314_1840020315,True,33.918,Grinsell Street,residential
16,38,1840020315,1840020321,"[263596288, 461776404]","[263596288, 461776404]_1840020315_1840020321",True,237.296,Grinsell Street,residential
17,1,1840020321,1840020315,"[263596288, 461776404]","[263596288, 461776404]_1840020315_1840020321",True,237.296,Grinsell Street,residential
17,2,1840020315,1840020314,461776404,461776404_1840020314_1840020315,True,33.918,Grinsell Street,residential
17,3,1840020314,1840020292,415483046,415483046_1840020292_1840020314,True,438.793,Grinsell Street,residential
