cycle_number,edge_number,node_from,node_to,osm_id,expected_segment_id,edge_exists_in_graph,length,name,highway
32,34,6272833010,6272833009,669796062,669796062_6272833009_6272833010,True,30.823999999999998,Aberglasslyn Road,secondary
32,35,6272833009,346174572,31132964,31132964_346174572_6272833009,True,3.335,,secondary
32,36,346174572,346176265,31132966,31132966_346174572_346176265,True,75.45700000000001,Alexandra Avenue,secondary
32,37,346176265,346174690,31133077,31133077_346174690_346176265,True,12.098,Endeavour Street,residential
32,38,346174690,346176268,31133077,31133077_346174690_346176268,True,77.85799999999999,Endeavour Street,residential
32,39,346176268,346176270,31133077,31133077_346176268_346176270,True,105.543,Endeavour Street,residential
32,40,346176270,346176273,31133077,31133077_346176270_346176273,True,102.07,Endeavour Street,residential
32,41,346176273,6272833061,31133077,31133077_346176273_6272833061,True,65.937,Endeavour Street,residential
32,42,6272833061,346176290,31133077,31133077_346176290_6272833061,True,185.923,Endeavour Street,residential
32,43,346176290,346176330,31133078,31133078_346176290_346176330,True,63.72,Ford Close,residential
33,1,346176330,346176290,31133078,31133078_346176290_346176330,True,63.72,Ford Close,residential
33,2,346176290,6272833061,31133077,31133077_346176290_6272833061,True,185.923,Endeavour Street,residential
33,3,6272833061,346176273,31133077,31133077_346176273_6272833061,True,65.937,Endeavour Street,residential
33,4,346176273,346176270,31133077,31133077_346176270_346176273,True,102.07,Endeavour Street,residential
33,5,346176270,346176346,31133084,31133084_346176270_346176346,True,118.396,Hague Street,residential
33,6,346176346,346176351,31133084,31133084_346176346_346176351,True,94.919,Hague Street,residential
33,7,346176351,346174792,31133095,31133095_346174792_346176351,True,63.58,Sirius Street,residential
33,8,346174792,346174687,31132977,31132977_346174687_346174792,True,195.264,Vindin Street,residential
33,9,346174687,346174637,31132977,31132977_346174637_346174687,True,12.43,Vindin Street,residential
33,10,346174637,346174781,31132977,31132977_346174637_346174781,True,91.83099999999999,Vindin Street,residential
33,11,346174781,346174755,31132977,31132977_346174755_346174781,True,92.77,Vindin Street,residential
33,12,346174755,346174758,31132974,31132974_346174755_346174758,True,90.745,Second Avenue,residential
33,13,346174758,346174760,31132974,31132974_346174758_346174760,True,41.579,Second Avenue,residential
33,14,346174760,346174733,31132974,31132974_346174733_346174760,True,157.396,Second Avenue,residential
33,15,346174733,346174737,31132972,31132972_346174733_346174737,True,107.88199999999999,Weblands Street,residential
33,16,346174737,7701362173,31133268,31133268_346174737_7701362173,True,81.112,Arthur Street,residential
33,17,7701362173,6544708317,"[824766682, 896017437]","[824766682, 896017437]_6544708317_7701362173",True,93.208,Arthur Street,residential
33,18,6544708317,7095431632,"[875596474, 696897243, 875596469]","[875596474, 696897243, 875596469]_6544708317_7095431632",True,21.261000000000003,,residential
33,19,7095431632,8285365920,"[702515201, 896017435]","[702515201, 896017435]_7095431632_8285365920",True,124.00800000000001,Arthur Street,residential
33,20,8285365920,8285365919,573102679,573102679_8285365919_8285365920,True,12.267,Arthur Street,residential
33,21,8285365919,8285365920,573102679,573102679_8285365919_8285365920,True,12.267,Arthur Street,residential
33,22,8285365920,346179855,"[1194927504, 573108682, 573102670]","[1194927504, 573108682, 573102670]_346179855_8285365920",True,177.709,New England Highway,trunk
33,23,346179855,346196483,"[1194927506, 974160075]","[1194927506, 974160075]_346179855_346196483",True,83.26599999999999,New England Highway,trunk
33,24,346196483,8285365922,"[1194927505, 573108659, 840071262]","[1194927505, 573108659, 840071262]_346196483_8285365922",True,293.84599999999995,New England Highway,trunk
33,25,8285365922,346174862,"[575637468, 573108637]","[575637468, 573108637]_346174862_8285365922",True,199.02800000000002,New England Highway,trunk
33,26,346174862,346174827,"[575640180, 1346138199]","[575640180, 1346138199]_346174827_346174862",True,189.296,New England Highway,trunk
33,27,346174827,346174842,575637164,575637164_346174827_346174842,True,120.77199999999999,Brooks Street,residential
33,28,346174842,346174609,31132985,31132985_346174609_346174842,True,83.608,First Avenue,residential
33,29,346174609,346174616,31132965,31132965_346174609_346174616,True,143.441,Aberglasslyn Road,secondary
33,30,346174616,346174625,31132965,31132965_346174616_346174625,True,83.051,Aberglasslyn Road,secondary
33,31,346174625,6272833010,31132965,31132965_346174625_6272833010,True,49.598,Aberglasslyn Road,secondary
33,32,6272833010,6272833009,669796062,669796062_6272833009_6272833010,True,30.823999999999998,Aberglasslyn Road,secondary
33,33,6272833009,346174572,31132964,31132964_346174572_6272833009,True,3.335,,secondary
33,34,346174572,346176265,31132966,31132966_346174572_346176265,True,75.45700000000001,Alexandra Avenue,secondary
33,35,346176265,346174690,31133077,31133077_346174690_346176265,True,12.098,Endeavour Street,residential
33,36,346174690,346176268,31133077,31133077_346174690_346176268,True,77.85799999999999,Endeavour Street,residential
